Niveau;Question;reponse;a;b;c;d
1;Quel pays a été l'empire colonial le plus vaste après l'Angleterre au XIXe siècle ?;b;Espagne;France;Portugal;Belgique
1;Quel monument romain était utilisé pour les combats de gladiateurs ?;c;Le Panthéon;Le Forum;Le Colisée;Le Parthénon
1;Quel roi de France a été surnommé le « Roi Soleil » ?;b;Louis XVI;Louis XIV;Henri IV;François Ier
1;Quel événement a marqué la fin de la Préhistoire et le début de l'Antiquité ?;a;L'invention de l'écriture;La découverte du feu;L'invention de la roue;L'apparition de l'Homme
1;Quel nom donne-t-on à la période qui a duré de 476 après J.C. jusqu'à la Renaissance ?;b;Antiquité;Moyen Âge;Temps Modernes;Époque contemporaine
2;"Quel explorateur a été le premier à faire le tour du monde; même s'il est mort en cours de route ?";a;Fernand de Magellan;Christophe Colomb;Vasco de Gama;Jacques Cartier
2;"Quel événement survenu le 14 juillet 1789; est le symbole du début de la Révolution Française ?";d;La Déclaration des droits;Le Serment du Jeu de Paume;L'exécution du Roi;La prise de la Bastille
2;Qui était le dirigeant de l'Allemagne nazie pendant la Seconde Guerre Mondiale ?;a;Adolf Hitler;Benito Mussolini;Winston Churchill;Joseph Staline
2;Comment appelle-t-on les hommes préhistoriques qui se déplacent pour se nourrir et ne sont pas sédentaires ?;b;Sédentaires;Nomades;Agriculteurs;Chasseurs-cueilleurs
2;Quel est le nom du célèbre code de lois mis en place par un empereur babylonien ?;c;Lois des Douze Tables;Code Napoléon;Code de Hammurabi;Décalogue
3;Quel pays les Alliés ont-ils débarqué le 6 juin 1944 (Jour J) ?;d;Royaume-Uni;Italie;Belgique;France
3;Comment appelle-t-on la période de grande peste noire qui a ravagé l'Europe au milieu du XIVe siècle ?;b;Guerre de Cent Ans;Peste noire;Grande Famine;Croisades
3;Qui a mené la conquête de la Gaule et en est devenu le maître ?;a;Jules César;Auguste;Vercingétorix;Pompée
3;Quel philosophe grec célèbre a été le maître d'Alexandre le Grand ?;d;Platon;Socrate;Pythagore;Aristote
3;Sous quel régime politique la France a-t-elle vécu entre 1870 et 1940 ?;c;Restauration;Premier Empire;Troisième République;Monarchie de Juillet
4;Quel traité a officiellement mis fin à la Première Guerre Mondiale en 1919 ?;b;Traité de Paris;Traité de Versailles;Traité de Trianon;Accord de Munich
4;Comment appelle-t-on la guerre civile américaine qui opposa les États du Nord et les États du Sud ?;d;Guerre d'Indépendance;Guerre du Mexique;Guerre froide;Guerre de Sécession
4;Quel nom porte la période de tension et de rivalité (sans affrontement direct) entre les États-Unis et l'URSS après 1945 ?;a;Guerre froide;Guerre mondiale;Paix armée;Détente
4;Quel chef viking a dirigé le siège de Paris au IXe siècle ?;c;Ragnar Lodbrok;Björn Côtes-de-Fer;Rollon;Erik le Rouge
4;Quel est le nom de l'explorateur italien célèbre pour avoir raconté ses voyages en Asie notamment en Chine ?;d;Vasco de Gama;Fernand de Magellan;Amerigo Vespucci;Marco Polo
