Niveau;Question;reponse;a;b;c;d
1;Quel est le nom de la planète sur laquelle nous vivons ?;a;La Terre;Mars;Pluto;Le terrain
1;Quel pays d’Europe est célèbre pour ses canaux et ses moulins à vent ?;b;La France;Les Pays-Bas;La Belgique;Les Etat-Unis
1;Comment appelle-t-on une petite colline volcanique éteinte ?;d;Un Puit;un Volcan éteint;Une Coline ;Un Puy
1;Dans quel continent se situe l’Egypte ? ;a;L’Afrique;L’Europe;Le Maghreb;L’Asie
1;Quelle est la capitale de l’Allemagne ? ;a;Berlin;Paris;Londres;Amsterdam
2;Quel est le plus grand désert chaud du monde ;c;tatooine;Le Harasa;Le Sahara;L'Harenae
2;Par quel canal important relie-t-on l’océan Atlantique à l’océan Pacifique ?;d;Le Canal de Suez;Le Canal de Corinthe;Le Canal Télégram;Le Canal de Panama
2;Quel est l’État des Etats-Unis dont la capitale est Honolulu ?;b;Texas;Hawaï;St Martin;Washington
2;Quel est le point culminant de la France métropolitaine ? ;a;Le Mont Blanc;Les Pyrénées;La montagene Pelée;Le pic de France
2;Quel Fleuve traverse Londres ? ;c;La Seine;La Deule;La Tamise;Le Severn
3;Quelle est la capitale de la Nouvelle-Zélande ? ;a;Wellington;Sydney;Cambera;Zealand Novus
3;Quel est le plus grand pays d’Amérique du Sud par sa superficie ?;d;Argentine;Le Venezuela;La Colombie;Le Brésil
3;Le Mont Fuji est le point culminant de quel archipel ?;b;Hawaï;Le Japon ;Danemark;Singapoure
3;Quel est le nom du détroit entre l’Espagne et l’Afrique ?;c;Le détroit de Magellan;Le détroit de Béring;Le détroit de Gibraltar;Le détroit de Michigan
3;Quel est le nom de la chaine de montagne entre l’Espagne et la France;a;Les Pyrénées;Les Carpates;Les Alpes;Oural
4;Quel volcan a enseveli la villes de Pompéi ?;b;Le Python de la Fournaise;Le Vésuve;L'Etna;Volcan du Croscat
4;Quel est le nom de la ligne imaginaire  situé aux nord de a planète ?;c;L'Equator;Le Tropique du Capricorne;Le Cercle Arctique;Le Tropique du Cancer
4;Quel est le pays en enclave a l’intérieure de l’Afrique du Sud ? ;d;Prétoria;Botswana;Swaziland;Le Lesotho
4;Parmis ces pays lequel est un vrai pays ?;a;Antigua et Barbuda;La Corée;Les Balkan;Le Royaume du Tahomey
4;Quel est le nom de la chaine de montagne qui contient l’Everest;d;Kaizen;Les Pyrénées;Le K2;L’Himalaya
