Niveau;Question;reponse;a;b;c;d
1;Qui est considéré comme le génie de la Renaissance ayant peint la Joconde ?;b;Michel-Ange;Léonard de Vinci;Raphaël;Donatello
1;Quel instrument fait partie de la famille des cuivres dans un orchestre ?;c;Violon;Flûte;Trompette;Piano
1;Dans quel musée célèbre peut-on voir le tableau La Liberté guidant le peuple de Delacroix ?;c;Musée d'Orsay;Centre Pompidou;Musée du Louvre;Le MET
1;Quelles sont les trois couleurs primaires en peinture ?;a;Rouge,Jaune; Bleu;Vert, Orange, Violet;Noir, Blanc, Gris;Rouge, Vert, Bleu
1;Comment appelle-t-on le genre musical interprété par un grand ensemble d'instruments à vent et de percussions ?;b;Orchestre symphonique;Harmonie ou Fanfare;Musique de chambre;Jazz
2;Quel sculpteur français est célèbre pour sa statue en bronze nommée Le Penseur ?;a;Auguste Rodin;Camille Claudel;Constantin Brancusi;Alberto Giacometti
2;Quel mouvement artistique du XIXe siècle cherchait à peindre les impressions fugitives de la lumière et de l'extérieur ?;d;Cubisme;Surréalisme;Futurisme;Impressionnisme
2;Comment appelle-t-on l'ensemble des règles qui régissent l'harmonie des sons en musique ?;c;Rythme;Mélodie;Solfège;Tempo
2;Quel artiste espagnol co-fondateur du Cubisme est célèbre pour ses périodes bleue et rose ?;c;Salvador Dalí;Joan Miró;Pablo Picasso;Francisco de Goya
2;De quelle manière (technique) la cathédrale Notre-Dame de Paris est-elle construite ?;b;Architecture romane;Architecture gothique;Architecture baroque;Architecture classique
3;Quel terme musical indique la vitesse à laquelle un morceau doit être joué ?;c;Nuance;Ton;Tempo;Rythme
3;Quel peintre hollandais est célèbre pour ses autoportraits et son usage magistral du clair-obscur ?;d;Johannes Vermeer;Vincent van Gogh;Pieter Bruegel;Rembrandt
3;Dans une œuvre d'art comment appelle-t-on la façon dont l'artiste organise les éléments dans l'espace ?;a;Composition;Perspective;Pigment;Texture
3;Quel compositeur allemand sourd à la fin de sa vie est célèbre pour ses 9 symphonies ?;a;Ludwig van Beethoven;Johann Sebastian Bach;Wolfgang Amadeus Mozart;Richard Wagner
3;Qu'est-ce qu'une nature morte en peinture ?;c;Un portrait de personnes décédées;Une peinture de paysages nocturnes;Une peinture d'objets inanimés;Une scène de combat
4;Quel mouvement du début du XXe siècle se caractérise par l'utilisation d'objets du quotidien comme œuvres d'art (ready-mades) ?;a;Dadaïsme;Surréalisme;Futurisme;Fauvisme
4;Quel est le titre de l'opéra le plus célèbre du compositeur français Georges Bizet situé en Espagne ?;b;La Traviata;Carmen;Aïda;Faust
4;Quel terme désigne l'effet de profondeur que les artistes créent sur une surface plane pour imiter l'espace en trois dimensions ?;d;Lumière;Contour;Symétrie;Perspective
4;Quel peintre est le plus connu pour ses tableaux de boîtes de soupe et ses sérigraphies d'icônes pop comme Marilyn Monroe ?;c;Roy Lichtenstein;Jackson Pollock;Andy Warhol;Francis Bacon
4;Comment appelle-t-on l'art de concevoir et de construire des bâtiments ?;b;Urbanisme;Architecture;Ingénierie;Sculpture
