Niveau;Question;reponse;a;b;c;d
1;Combien font 4*4?;b;8;16;42;6
1;Quel est le résultat de 25−7?;b;15;18;17;19
1;Comment s'appelle un triangle ayant trois côtés de longueurs différentes?;c;Isocèle;Équilatéral;Scalène;Rectangle
1;Quel est le plus petit nombre entier positif?;b;0;1;-1;10
1;"Si un T-shirt coûte 20€ et qu'il y a 10% de réduction, quel est le montant de la réduction?";b;1€;2€;5€;10€
2;Quel est le résultat de 22​+45​?;c;62​;61​;67;1
2;Quel est le produit de deux nombres négatifs?;d;Un nombre négatif;Zéro;Dépend des nombres;Un nombre positif
2;Quel est le périmètre d'un cercle dont le rayon est de 5 cm (la formule est 2×π×r)?;c;5π cm;25π cm;10π cm;50π cm
2;Comment appelle-t-on le segment qui relie deux points d'un cercle en passant par le centre?;d;Rayon;Corde;Sécante;Diamètre
2;Résolvez l'équation : x+7=12.;b;19;5;7;12
3;Comment s'appelle la figure géométrique qui a 6 faces carrées et 12 arêtes?;d;Pyramide;Sphère;Cylindre;Cube
3;Calculez la moyenne des nombres suivants : 5 ,10, 15.";b;30;10;5;15
3;Quel est le résultat de 43²-67x27?;c;12;16;40;43
3;Dans un triangle rectangle quel théorème permet de calculer la longueur d'un côté à partir des deux autres?;a;Théorème de Pythagore;Théorème de Thalès;Théorème de la médiane;Formule d'Euler
3;Quelle est la notation scientifique du nombre 12 000 000?;c;12×10^6;"1;2×10^6";"1;2×10^7";"1;2×10^8"
4;Quel est le nom de la fonction dont la courbe est une droite qui passe par l'origine du repère?;a;Fonction linéaire;Fonction affine;Fonction constante;Fonction quadratique
4;L'égalité (a+b)**2=a2+2ab+b2 est un exemple de...;b;Équation polynomiale;Identité remarquable;Factorisation;Inégalité
4;Calculez l'aire d'un disque dont le diamètre est de 6 cm (la formule est π×r2).;c;3π cm2;6π cm2;9π cm2;36π cm2
4;Quel type de raisonnement utilise des hypothèses pour aboutir à une conclusion logique et certaine?;a;Déduction;Induction;Conjecture;Expérimentation
4;Dans une expérience aléatoire comment s'appelle l'ensemble de tous les résultats possibles?;c;Événement;Probabilité;Univers;Hasard
